,,,Temprano,Tarde,Noche
Semana 1,Dia 1,Lunes ,Te conoce y te intimida e intenta hacerse tu amigo,Te intimida y pide plata,Te puede rescatar del peligro
,Dia 2,Martes,Te conoce y habla de super heroes,Salen a dar una vuelta y descubres que le gusta la historia y civilizaciones antiguar y cavernicolas,
,Dia 3,Miercoles,Te pide plata y tu celular,,Apuesta todo su dinero en peleas clandestinas
,Dia 4,Juevez,,,
,Dia 5,Viernes,,Te admite que le interesan las vidas pasadas,
,Dia 6,Sabado,Claus te invita a ir a hacer deporte,Despues de hacer deporte pelea con pasteros drogadictos o punkys o flaites,almenos 1 drogadicto o puny o flaite va a romperte vidrios a tu casa de noche
,Dia 7,Domingo,"Claus viene a buscarte, tambien le rompieron los vidrios, desayunan proteina y miel",Van a buscar a los weones que les rompieron las cosas lo cual los lleva a una serie de riñas hasta pelear con un proxeneta de prostitutas mutantes,El proxeneta si sobrevivio a lo anterior aparece muerto en las noticias con marcas de mordiscos asesinado por sharkboy
Semana 2,Dia 8,Lunes ,Te pide plata E invita a golpear bullys punkys,,
,Dia 9,Martes,Te invita a hacer bulling a otros perkines,,
,Dia 10,Miercoles,Te pide plata E invita a golpear bullys flaites,,Puedes encontrar a sharkboy mientras se come un profundo
,Dia 11,Juevez,Te invita a hacer bulling a gordos,,
,Dia 12,Viernes,Te invita a hacer un video entrenando gordos ,,
,Dia 13,Sabado,Te invita a hacer un video de entrenamiento,Te explica que la vida sin celular es lo mejor del mundo,
,Dia 14,Domingo,,,
Semana 3,Dia 15,Lunes ,,,
,Dia 16,Martes,,,
,Dia 17,Miercoles,,,
,Dia 18,Juevez,,,
,Dia 19,Viernes,,,
,Dia 20,Sabado,,,
,Dia 21,Domingo,,,
Semana 4,Dia 22,Lunes ,,,
,Dia 23,Martes,,,
,Dia 24,Miercoles,,,
,Dia 25,Juevez,,,
,Dia 26,Viernes,,,
,Dia 27,Sabado,,,
,Dia 28,Domingo,,,
