,,,Temprano,Tarde,Noche
Semana 1,Dia 1,Lunes ,Te lo encuentras en el almuerzo y te invita a jugar ajedres (es muy bueno),,Te lo encuentras en foros de internet
,Dia 2,Martes,"Te juntas a almorzar con el y se queja de la nueva pelicula de ""deformers""",Te invita a ver la pelicula al cine para quejarse despues de verla (era un remake inclusivo),
,Dia 3,Miercoles,Te ayuda a estudiar y da un bono,,
,Dia 4,Juevez,"En clases de biologia se pone a discutir con ishtar y serini sobre conceptos ""feministas"" (Shinji lo apoya)","te invita a comprar cosas en la zona media de la arcologia y sospecha que hay unos mutantes siguiendolos, son reales y les quieren robar",Te lo encuentras en internet hablando sobre como deverian mostrar mas mutantes agresivos en las peliculas y series
,Dia 5,Viernes,,,
,Dia 6,Sabado,,,
,Dia 7,Domingo,,,
Semana 2,Dia 8,Lunes ,,,
,Dia 9,Martes,,,
,Dia 10,Miercoles,,,
,Dia 11,Juevez,,,
,Dia 12,Viernes,,,
,Dia 13,Sabado,,,
,Dia 14,Domingo,,,
Semana 3,Dia 15,Lunes ,,,
,Dia 16,Martes,,,
,Dia 17,Miercoles,,,
,Dia 18,Juevez,,,
,Dia 19,Viernes,,,
,Dia 20,Sabado,,,
,Dia 21,Domingo,,,
Semana 4,Dia 22,Lunes ,,,
,Dia 23,Martes,,,
,Dia 24,Miercoles,,,
,Dia 25,Juevez,,,
,Dia 26,Viernes,,,
,Dia 27,Sabado,,,
,Dia 28,Domingo,,,
