,,,Temprano,Tarde,Noche
Semana 1,Dia 1,Lunes ,Te pide un cigarro y se pone a conversar de maquinas ,Te ofrece un cigarro que no sabes de donde salio,
,Dia 2,Martes,Te pide ayuda para esconder sus chelas y cigarros de los profesores,,Puede salvarte en los callejones 
,Dia 3,Miercoles,Te pide estudiar lectoescritura y conversar sobre como ganar en 21,,Puedes encontrarlo en casinos de la zona salina
,Dia 4,Juevez,,Te pide que lo acompañes a comprar repuestos a la zona media,
,Dia 5,Viernes,,Te invita a una tocata en la  zona salina de noche y dice que te prepares es peligroso de paso te invita a tomar chela,Van a una tocata salina con mutantes donde ocurre una anomalia vibracional que hace a la musica reververar en todo. durante el festejo alguien le robo Xg de mota a frikardo
,Dia 6,Sabado,Frikarado te llama temprano diciendo que esta investigando al weon que le robo y pide ayuda en lectoescritura,Encuentran la direccion del weon en un lugar mal señalizado hay que explorar la zona salina para buscar el lugar ,"De noche entraran a allanar la casa para lootear todo y robarse hasta sus muebles, su casa esta protegida por un temible perro "
,Dia 7,Domingo,Frikardo te invita a ir al casino para apostar los bienes,Se Apuestan los bienes y es muy probable perder,Si pierden los persiguen matones para cobrar y si ganan los persiguen matones para robarles su dinero
Semana 2,Dia 8,Lunes ,,,
,Dia 9,Martes,,,
,Dia 10,Miercoles,,,
,Dia 11,Juevez,,,
,Dia 12,Viernes,,,
,Dia 13,Sabado,,,
,Dia 14,Domingo,,,
Semana 3,Dia 15,Lunes ,,,
,Dia 16,Martes,,,
,Dia 17,Miercoles,,,
,Dia 18,Juevez,,,
,Dia 19,Viernes,,,
,Dia 20,Sabado,,,
,Dia 21,Domingo,,,
Semana 4,Dia 22,Lunes ,,,
,Dia 23,Martes,,,
,Dia 24,Miercoles,,,
,Dia 25,Juevez,,,
,Dia 26,Viernes,,,
,Dia 27,Sabado,,,
,Dia 28,Domingo,,,
