,,Codigo,"Ndia,1,1","Ndia,1,2","Ndia,1,3","Ndia,2,1","Ndia,2,2","Ndia,3,1","Ndia,3,2"
,,Nombre ,"Temprano,Clase","Temprano, Almuerzo","Temprano, entrenamiento militar","Tarde, Despues de clase","Tarde, Aventura de tarde","Noche, Sueños","Noche, Aventura de noche"
Semana 1,Dia 1,Lunes ,"1,1,1 Te sientas junto a el y te habla sobre los peligros de la web y de que es su unico escape de su problematica vida en casa",,,,,,"1,3,2 Te lo encuentras navegando en la internet en extraños foros que buscan predecir el futuro basandose en peliculas de adma sandler"
,Dia 2,Martes,,"2,1,2 Te habla sobre un lugar oscuro y tenebroso donde va a jugar cartas conocido como el calabozo del robot e invita a ir despues de clases alla a comprar unas cartas",,"2,2,1 Shinji te ataja a la salida de clases para ir al ""calabozo del robot"" y te dice la ubicacion del LUGAR","2,2,2 vas a una tienda de cartas mierdera en la zona salina muy chica y pasada a mierda, completamentne hacinada con guatones culiaos y conoces al zanahoria y resto de weones feos que juegan cartas, chequeo de cordura ",,"2,3,2 en la noche navegando por la web te encuentras una de tantas funas al calabozo del robot que esta pasado a mierda, ediondo y que la gente no se baña"
,Dia 3,Miercoles,,"3,1,2 Almorzando shinji te cuenta sobre que esta esta chica en la clase que le gusta ishtar que es una maga muy poderosa segun ella ",,,,,"3,3,2 te puedes encontrar a shinji explorando o yendo al calabozo del robot siendo victima de un robo en los callejones por salir demaciado tarde del calabozo del robot "
,Dia 4,Juevez,,,,,,,
,Dia 5,Viernes,,,,,,,
,Dia 6,Sabado,,"6,1,2 Te invita a comer y dice que lo invitaron a un proyecto super secreto que no te puede contar del gobierno y que mas rato tiene un torneo de cartas y quiere ir con tigo",,,"6,2,2 en el torneo es peleado y conocen a un traficante arcanix y de cartas en idiomas extranjeros te ofrece venderte cartas raras si vas a su casa a la noche",,"6,3,2 vas a su casa en la zona salina y es muy peligroso, compras sus cartas y vende arcanix pero cuando te vas de su casa te asaltan flaites y adictos flaites para robarte (las cartas que vende huelen a arcanix)"
,Dia 7,Domingo,,,,,,,
Semana 2,Dia 8,Lunes ,,,,,,,
,Dia 9,Martes,,,,,,,
,Dia 10,Miercoles,,,,,,,
,Dia 11,Juevez,,,,,,,
,Dia 12,Viernes,,,,,,,
,Dia 13,Sabado,,,,,,,
,Dia 14,Domingo,,,,,,,
Semana 3,Dia 15,Lunes ,,,,,,,
,Dia 16,Martes,,,,,,,
,Dia 17,Miercoles,,,,,,,
,Dia 18,Juevez,,,,,,,
,Dia 19,Viernes,,,,,,,
,Dia 20,Sabado,,,,,,,
,Dia 21,Domingo,,,,,,,
Semana 4,Dia 22,Lunes ,,,,,,,
,Dia 23,Martes,,,,,,,
,Dia 24,Miercoles,,,,,,,
,Dia 25,Juevez,,,,,,,
,Dia 26,Viernes,,,,,,,
,Dia 27,Sabado,,,,,,,
,Dia 28,Domingo,,,,,,,
